date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:15	1061/1061	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Jun%202011%2023:37:09%20GMT	http://pds.twi.tudelft.nl/robots.txt		(from )
18:35:15	19860/19860	U-----	200	untouched ('OK')	text/html	etag:%22d62e7c-4d94-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/index.html	(from )
18:35:16	2621/2621	U-----	200	untouched ('OK')	image/jpeg	etag:%22d62e4b-a3d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/background.jpg	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/background.jpg	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:35:16	123/123	U-----	200	untouched ('OK')	text/html	etag:%22d62e2f-7b-45351e5944b00%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/add.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/add.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:35:17	125/125	U-----	200	untouched ('OK')	text/html	etag:%22d62e31-7d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/addc.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/addc.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:35:18	125/125	U-----	200	untouched ('OK')	text/html	etag:%22d62e33-7d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/adde.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/adde.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:35:19	125/125	U-----	200	untouched ('OK')	text/html	etag:%22d62e35-7d-45351e5944b00%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/addi.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/addi.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:35:23	61837/61837	---M--	200	added ('OK')	image/gif	etag:%22d62e2e-f18d-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/add.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/add.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:35:23	127/127	U-----	200	untouched ('OK')	text/html	etag:%22d62e39-7f-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/addic.html	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/addic.html	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
18:35:25	57448/57448	---M--	200	added ('OK')	image/gif	etag:%22d62e30-e068-45351e5a38d40%22	http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/addc.gif	C:/Documents%20and%20Settings/Administrator/My%20Documents/git/l1j_client/powerpc/powerpc/pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/addc.gif	(from http://pds.twi.tudelft.nl/vakken/in101/labcourse/instruction-set/)
